sep=	
Financeiro	quanto é a mensalidade deste mês	
Financeiro	quanto está meu boleto	
Financeiro	Quero saber minha situação financeira	
Financeiro	Como posso realizar o pagamento da mensalidade	
Financeiro	Não consigo acessar meu boleto	
Financeiro	Não tenho o meu boleto para pagamento	
Financeiro	Quanto está a mensalidade	
Financeiro	Pode me dizer o valor do meu boleto	
Financeiro	Quero ver meu boleto	
Dúvida	Pode me ajudar	
Dúvida	o que vc tem sobre	
Dúvida	Não entendi a materia	
Dúvida	Preciso de uma ajuda com uma disciplina	
Dúvida	Estou com dificuldade na matéria	
Dúvida	quero o calendario institucional	
Dúvida	Me mande conteudos	
Dúvida	Não entendi a disciplina	
Dúvida	Pode me tirar uma dúvida?	
Dúvida	Não estou entendendo a matéria	
Dúvida	Como posso encontrar conteudo	
Dúvida	Não entendi um assunto	
Dúvida	Estou com dúvida	
Dúvida	O que você tem sobre	
Datas	quando é a prova	
Datas	Quando começam as provas?	
Datas	que dia é a prova	
Datas	quando serão as avaliações	
Datas	Quando serão as provas	
Datas	Quando é a semana de provas	
Datas	Esqueci a data das avaliações	
Datas	Qual o dia da AV3?	
Datas	Qual o dia da AV2?	
Datas	Qual o dia da AV1?	
